FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
NETTIE,ANDRADA,F,11-07-2014,07-01-2016,Analyst,23,Operations,15,15,5,1,40541,11,Friday,7,2014
WENDI,APPERT,F,02-12-2013,07-01-2016,Analyst,25,Web,28,2,2,2,43920,2,Monday,12,2013
BRENT,ABRIL,M,11-02-2013,07-01-2016,Analyst,21,Management,28,2,2,0,45832,11,Monday,2,2013
HARRIETTE,ARMSTRONG,F,22-01-2014,07-01-2016,Analyst,23,Marketing,17,13,2,0,48102,22,Wednesday,1,2014
GARLAND,AGLER,M,07-09-2014,07-01-2016,Analyst,21,Management,30,0,5,0,48662,7,Sunday,9,2014
OSWALDO,ALLENBAUGH,M,15-02-2013,07-01-2016,Analyst,25,Operations,15,15,2,1,49685,15,Friday,2,2013
SEYMOUR,ALBEN,M,21-12-2014,07-01-2016,Senior Analyst,25,Operations,25,5,3,0,57488,21,Sunday,12,2014
ROXANNE,AMRINE,F,13-03-2013,07-01-2016,Analyst,21,Marketing,29,1,2,0,45410,13,Wednesday,3,2013
CLAUD,ALLATEEF,M,07-05-2013,07-01-2016,Analyst,21,Management,22,8,5,0,43030,7,Tuesday,5,2013
MARIANNA,ARGENTIERI,F,07-11-2014,07-01-2016,Analyst,22,Management,30,0,5,0,42388,7,Friday,11,2014
FOSTER,ALDERMAN,M,22-05-2014,07-01-2016,Senior Analyst,26,Operations,28,2,5,3,68295,22,Thursday,5,2014
MAUDIE,ARENIVAR,F,06-08-2011,07-01-2016,Associate,29,Web,30,0,5,2,73397,6,Saturday,8,2011
TORI,ARCE,F,16-12-2013,07-01-2016,Analyst,22,Management,27,3,2,0,47008,16,Monday,12,2013
KELLEY,ALLAM,M,30-07-2014,07-01-2016,Analyst,23,Marketing,19,11,5,1,49898,30,Wednesday,7,2014
HILLARY,ANTONIA,F,17-12-2014,07-01-2016,Analyst,23,Management,27,3,2,1,45389,17,Wednesday,12,2014
MICKEY,AGRAMONTE,M,25-03-2013,07-01-2016,Analyst,22,Web,29,1,3,0,49326,25,Monday,3,2013
ROSIE,AMILL,F,18-02-2013,07-01-2016,Analyst,24,Web,24,6,4,0,49901,18,Monday,2,2013
GAVIN,AINI,M,18-11-2014,07-01-2016,Analyst,24,IT,23,7,2,2,42529,18,Tuesday,11,2014
ANNABELLE,ANTROBUS,F,23-03-2014,07-01-2016,Analyst,25,Finance,25,5,5,2,44448,23,Sunday,3,2014
CHRISTINE,ALPHONSE,F,26-08-2011,07-01-2016,Senior Manager,39,Marketing,30,0,4,13,175497,26,Friday,8,2011
MELODIE,ARMENT,F,01-07-2014,07-01-2016,Analyst,25,IT,21,9,4,2,47739,1,Tuesday,7,2014
MICHELL,ARCH,F,31-01-2014,07-01-2016,Analyst,25,Web,25,5,4,2,49046,31,Friday,1,2014
ANDREW,ABALOZ,M,31-03-2014,07-01-2016,Analyst,25,Operations,20,10,3,2,47961,31,Monday,3,2014
LUCRETIA,ARGYLE,F,26-04-2014,07-01-2016,Associate,29,Operations,23,7,2,5,96378,26,Saturday,4,2014
JODY,ADOLFO,M,07-01-2015,07-01-2016,Associate,32,IT,16,14,4,9,76411,7,Wednesday,1,2015
GILDA,ARANCIBIA,F,22-05-2013,07-01-2016,Analyst,23,Web,24,6,2,0,40264,22,Wednesday,5,2013
JOSPEH,ALLIS,M,26-02-2014,07-01-2016,Analyst,22,Web,20,10,2,0,45364,26,Wednesday,2,2014
KING,ALIMENT,M,05-07-2013,07-01-2016,Analyst,22,Web,27,3,4,0,42013,5,Friday,7,2013
KURT,ACEVEDO,M,22-07-2013,07-01-2016,Analyst,25,Marketing,24,6,5,2,42362,22,Monday,7,2013
LYNNETTE,APRUZZESE,F,18-11-2013,07-01-2016,Analyst,25,Finance,26,4,5,2,44620,18,Monday,11,2013
DANIELA,ARIAIL,F,25-08-2014,07-01-2016,Analyst,23,Operations,23,7,5,1,43285,25,Monday,8,2014
CARI,ARENALES,F,10-04-2014,07-01-2016,Senior Analyst,28,Web,24,6,3,5,66338,10,Thursday,4,2014
ANGELITA,ARAGUS,F,04-08-2013,07-01-2016,Analyst,25,IT,27,3,4,2,46436,4,Sunday,8,2013
ISABELLE,ANGERMAN,F,19-04-2013,07-01-2016,Analyst,24,Management,28,2,3,0,49705,19,Friday,4,2013
NORBERT,AHALT,M,27-03-2014,07-01-2016,Analyst,21,Management,19,11,3,0,40095,27,Thursday,3,2014
PAULINE,ALTSHULER,F,13-12-2014,07-01-2016,Senior Analyst,28,Finance,28,2,4,3,61647,13,Saturday,12,2014
JANETTE,ANEZ,F,17-08-2014,07-01-2016,Analyst,21,Marketing,22,8,3,0,42811,17,Sunday,8,2014
CHARLENE,AMANO,F,25-12-2013,07-01-2016,Analyst,25,Finance,15,15,2,2,47365,25,Wednesday,12,2013
HOWARD,ABDELWAHED,M,20-08-2013,07-01-2016,Analyst,22,Operations,18,12,5,0,45721,20,Tuesday,8,2013
PAUL,AANENSON,M,05-07-2013,07-01-2016,Analyst,25,Web,25,5,2,1,49976,5,Friday,7,2013
CORTEZ,ALLINDER,M,19-04-2013,07-01-2016,Analyst,21,Marketing,21,9,2,0,42650,19,Friday,4,2013
AHMAD,ALCANTARA,M,18-01-2015,07-01-2016,Analyst,25,Management,27,3,3,3,44632,18,Sunday,1,2015
JONAH,ALEWINE,M,28-07-2014,07-01-2016,Analyst,25,Operations,15,15,3,3,48389,28,Monday,7,2014
DARIN,AFABLE,M,22-10-2013,07-01-2016,Analyst,21,Operations,18,12,2,0,48665,22,Tuesday,10,2013
ALONSO,ALMANZA,M,05-04-2013,07-01-2016,Associate,31,Management,21,9,4,6,72886,5,Friday,4,2013
RENE,ANKLAM,F,08-06-2014,07-01-2016,Analyst,21,IT,28,2,5,0,45225,8,Sunday,6,2014
RILEY,AIKINS,M,16-06-2013,07-01-2016,Senior Analyst,25,Finance,26,4,4,0,60712,16,Sunday,6,2013
WYATT,ALBERTS,M,07-10-2013,07-01-2016,Analyst,24,Operations,17,13,3,1,41290,7,Monday,10,2013
KIMBERLEE,ARCIGA,F,16-05-2014,07-01-2016,Analyst,21,IT,18,12,2,0,44993,16,Friday,5,2014
KRISTA,AMRICH,F,21-08-2013,07-01-2016,Analyst,24,IT,22,8,4,1,46118,21,Wednesday,8,2013
MARYJANE,ARES,F,24-08-2012,07-01-2016,Senior Analyst,25,Management,29,1,5,1,65212,24,Friday,8,2012
SAVANNAH,APREA,F,20-12-2011,07-01-2016,Senior Manager,38,Operations,19,11,4,9,193621,20,Tuesday,12,2011
NATALIE,AMALONG,F,25-11-2013,07-01-2016,Analyst,23,Marketing,19,11,2,0,44223,25,Monday,11,2013
MARY,ALMESTICA,F,12-10-2013,07-01-2016,Senior Analyst,27,Finance,26,4,2,1,53339,12,Saturday,10,2013
KAYLA,AMLIN,F,07-07-2014,07-01-2016,Analyst,24,Web,29,1,3,1,43638,7,Monday,7,2014
JULIAN,ACKERLEY,M,03-06-2013,07-01-2016,Analyst,22,Marketing,21,9,2,0,44963,3,Monday,6,2013
JO,AMBLER,F,01-05-2014,07-01-2016,Analyst,21,Marketing,22,8,3,0,42686,1,Thursday,5,2014
KASEY,APFEL,F,01-09-2014,07-01-2016,Analyst,21,Web,22,8,2,0,40381,1,Monday,9,2014
IONA,ARGALL,F,02-05-2013,07-01-2016,Analyst,21,Finance,15,15,5,0,48461,2,Thursday,5,2013
ALBERTA,AMIS,F,15-02-2013,07-01-2016,Analyst,25,Marketing,18,12,4,1,46584,15,Friday,2,2013
WILMER,AKIONA,M,30-05-2014,07-01-2016,Senior Analyst,25,IT,25,5,3,0,50739,30,Friday,5,2014
MELVIN,ABERNATHA,M,28-07-2014,07-01-2016,Associate,31,Management,17,13,3,5,82083,28,Monday,7,2014
CORA,AMESQUITA,F,22-12-2014,07-01-2016,Analyst,23,Operations,27,3,2,1,40324,22,Monday,12,2014
EVERETT,ACHILLES,M,20-11-2014,07-01-2016,Analyst,23,Management,26,4,3,1,44001,20,Thursday,11,2014
DOTTIE,ARDREY,F,17-08-2013,07-01-2016,Analyst,22,Management,30,0,3,0,43059,17,Saturday,8,2013
CORINE,APAEZ,F,25-09-2014,07-01-2016,Analyst,24,Finance,30,0,2,2,41685,25,Thursday,9,2014
DARIO,ALESSI,M,11-03-2012,07-01-2016,Associate,28,Operations,26,4,4,0,95982,11,Sunday,3,2012
HILDA,AMBROSIUS,F,17-06-2013,07-01-2016,Analyst,23,Management,26,4,3,0,44699,17,Monday,6,2013
ELOISA,ARGIE,F,07-08-2013,07-01-2016,Senior Analyst,28,Marketing,30,0,5,3,52690,7,Wednesday,8,2013
HEIDI,AMAZAN,F,15-02-2014,07-01-2016,Analyst,21,Management,18,12,4,0,40041,15,Saturday,2,2014
KATELYN,APPENZELLER,F,02-11-2014,07-01-2016,Senior Analyst,28,Finance,16,14,5,3,56314,2,Sunday,11,2014
WILLIS,ADAN,M,16-02-2014,07-01-2016,Analyst,25,Operations,26,4,3,2,49785,16,Sunday,2,2014
RUTH,ALO,F,21-11-2013,07-01-2016,Analyst,24,Web,29,1,5,1,41284,21,Thursday,11,2013
JOSEFA,APPLEWHAITE,F,19-05-2014,07-01-2016,Analyst,22,Finance,26,4,5,0,40562,19,Monday,5,2014
OSCAR,ABLING,M,01-08-2013,07-01-2016,Analyst,22,Operations,30,0,2,0,46741,1,Thursday,8,2013
ROOSEVELT,ADES,M,12-02-2014,07-01-2016,Analyst,24,Operations,28,2,2,1,45100,12,Wednesday,2,2014
MARVIN,ABELS,M,15-09-2014,07-01-2016,Analyst,22,IT,23,7,5,0,41712,15,Monday,9,2014
MARCELLA,AMY,F,17-05-2014,07-01-2016,Analyst,24,Operations,20,10,4,1,47069,17,Saturday,5,2014
KARL,ACCETTURO,M,19-04-2013,07-01-2016,Analyst,25,Web,28,2,3,1,40460,19,Friday,4,2013
WALTER,ABATE,M,26-02-2013,07-01-2016,Analyst,24,Finance,28,2,4,0,47068,26,Tuesday,2,2013
ELIZA,ANSBACHER,F,30-09-2013,07-01-2016,Senior Analyst,25,Marketing,26,4,2,0,50813,30,Monday,9,2013
YONG,ALDERFER,M,22-04-2010,07-01-2016,Manager,33,Operations,22,8,4,3,129191,22,Thursday,4,2010
ALVA,ALAMPI,M,19-12-2014,07-01-2016,Analyst,24,Operations,28,2,5,2,46749,19,Friday,12,2014
REINA,ARMAGOST,F,15-10-2011,07-01-2016,Manager,33,Finance,15,15,2,6,108665,15,Saturday,10,2011
ERICKA,ANTHONY,F,06-12-2012,07-01-2016,Associate,32,Management,23,7,5,5,76964,6,Thursday,12,2012
LUIGI,ALLYNE,M,19-12-2013,07-01-2016,Analyst,24,Marketing,21,9,3,1,47417,19,Thursday,12,2013
JEFFEREY,ALEXY,M,16-04-2014,07-01-2016,Analyst,21,IT,25,5,5,0,47669,16,Wednesday,4,2014
ROBERT,ARCAND,F,16-06-2014,07-01-2016,Analyst,21,Finance,20,10,3,0,40318,16,Monday,6,2014
HAYWOOD,ALKINS,M,01-09-2013,07-01-2016,Analyst,23,IT,17,13,2,0,46743,1,Sunday,9,2013
STAN,AGRESTO,M,08-05-2014,07-01-2016,Analyst,25,Management,20,10,2,2,40060,8,Thursday,5,2014
BETTIE,ANDUJAR,F,20-10-2013,07-01-2016,Analyst,25,Management,20,10,3,2,46129,20,Sunday,10,2013
ALLAN,ACEVES,M,09-04-2013,07-01-2016,Senior Manager,38,Marketing,19,11,4,10,189435,9,Tuesday,4,2013
ELEANORE,ARENA,F,20-03-2013,07-01-2016,Senior Analyst,26,Management,27,3,2,0,62537,20,Wednesday,3,2013
ERIC,ABAJIAN,M,17-09-2013,07-01-2016,Analyst,24,Management,17,13,5,1,44145,17,Tuesday,9,2013
LEIGH,ANAWALT,F,02-10-2014,07-01-2016,Analyst,22,Marketing,23,7,5,0,47998,2,Thursday,10,2014
ARON,ALBOR,M,17-01-2014,07-01-2016,Analyst,25,Marketing,16,14,2,2,49310,17,Friday,1,2014
KAREN,ALMSTEAD,F,21-03-2014,07-01-2016,Analyst,24,Management,17,13,4,1,49235,21,Friday,3,2014
KENDRICK,AHIMUD,M,26-04-2013,07-01-2016,Senior Analyst,26,Finance,26,4,3,0,68245,26,Friday,4,2013
LAKESHA,ARDEN,F,19-10-2014,07-01-2016,Analyst,23,Finance,25,5,5,1,47498,19,Sunday,10,2014
JUNIOR,AGORAS,M,30-11-2014,07-01-2016,Analyst,25,Finance,26,4,4,3,40636,30,Sunday,11,2014
ERNESTINE,AMUSO,F,03-01-2013,07-01-2016,Analyst,25,Operations,25,5,4,1,45233,3,Thursday,1,2013
TERESITA,ARENTZ,F,03-11-2013,07-01-2016,Senior Analyst,27,Finance,16,14,4,4,53275,3,Sunday,11,2013
ESTHER,ALTSCHULER,F,18-07-2013,07-01-2016,Analyst,24,Web,17,13,5,1,43540,18,Thursday,7,2013
BERRY,ALDONZA,M,20-01-2015,07-01-2016,Analyst,21,Management,30,0,5,0,40275,20,Tuesday,1,2015
WENDELL,ACREE,M,11-12-2013,07-01-2016,Analyst,21,Web,28,2,5,0,44361,11,Wednesday,12,2013
RUBEN,ABSHEAR,M,20-05-2013,07-01-2016,Analyst,25,Web,16,14,2,1,41936,20,Monday,5,2013
PATTIE,ARGUIN,F,13-04-2013,07-01-2016,Analyst,21,Finance,25,5,5,0,45830,13,Saturday,4,2013
ISABEL,AMICI,F,23-07-2013,07-01-2016,Analyst,23,Web,28,2,3,0,44521,23,Tuesday,7,2013
BRODERICK,ALMERICO,M,04-08-2014,07-01-2016,Analyst,22,Management,18,12,3,0,45997,4,Monday,8,2014
JEREMY,ABDELLA,M,07-12-2013,07-01-2016,Analyst,25,Finance,19,11,2,2,44218,7,Saturday,12,2013
KELLI,AMORIELLO,F,07-10-2013,07-01-2016,Manager,35,Finance,28,2,2,12,140926,7,Monday,10,2013
MARIETTA,APPLEBAUM,F,03-09-2014,07-01-2016,Analyst,21,Operations,23,7,3,0,48886,3,Wednesday,9,2014
CHADWICK,ALATOSSE,M,11-09-2014,07-01-2016,Analyst,23,Operations,26,4,3,1,49081,11,Thursday,9,2014
NONA,APODACA,F,26-02-2014,07-01-2016,Analyst,23,Operations,28,2,2,0,42195,26,Wednesday,2,2014
JON,ABOLT,M,01-02-2013,07-01-2016,Senior Analyst,25,Marketing,22,8,3,0,50130,1,Friday,2,2013
JORDON,ALLARA,M,01-12-2014,07-01-2016,Senior Analyst,25,Finance,30,0,3,0,55472,1,Monday,12,2014
LAWRENCE,ABBOT,M,21-05-2013,07-01-2016,Analyst,25,Operations,17,13,5,1,43269,21,Tuesday,5,2013
LEANNE,ANNABEL,F,23-09-2013,07-01-2016,Analyst,22,Operations,17,13,2,0,43712,23,Monday,9,2013
LES,ALCIVAR,M,07-12-2014,07-01-2016,Analyst,25,Marketing,24,6,5,3,42377,7,Sunday,12,2014
DEIDRA,ARCHANGEL,F,05-10-2012,07-01-2016,Senior Analyst,28,Operations,24,6,3,0,69316,5,Friday,10,2012
GERI,ARDENEAUX,F,27-08-2013,07-01-2016,Analyst,23,Marketing,29,1,2,0,46418,27,Tuesday,8,2013
MANUAL,ALLFORD,M,14-08-2014,07-01-2016,Senior Analyst,28,Marketing,17,13,3,5,65566,14,Thursday,8,2014
CELESTINE,ARGIRO,F,19-10-2013,07-01-2016,Analyst,24,Finance,25,5,2,1,48976,19,Saturday,10,2013
JAVIER,ACEDO,M,15-04-2013,07-01-2016,Analyst,23,Marketing,24,6,4,0,43760,15,Monday,4,2013
CAREN,ARGO,F,20-05-2013,07-01-2016,Analyst,22,Operations,21,9,4,0,41047,20,Monday,5,2013
DEBBIE,ALUARADO,F,08-12-2013,07-01-2016,Analyst,25,Operations,30,0,2,2,43225,8,Sunday,12,2013
MICHAEL,AAGAARD,M,21-01-2015,07-01-2016,Analyst,22,Marketing,25,5,2,0,42361,21,Wednesday,1,2015
MARLENE,AMAYA,F,15-09-2014,07-01-2016,Analyst,22,Management,26,4,4,0,43835,15,Monday,9,2014
HESTER,ARAGAO,F,07-02-2014,07-01-2016,Analyst,25,Operations,24,6,5,2,47326,7,Friday,2,2014
ULYSSES,AILTS,M,28-09-2012,07-01-2016,Senior Analyst,25,Marketing,19,11,3,0,61221,28,Friday,9,2012
INES,ARB,F,30-12-2013,07-01-2016,Analyst,21,Finance,17,13,4,0,42943,30,Monday,12,2013
JESSE,ABDULKARIM,M,04-09-2013,07-01-2016,Analyst,23,Operations,24,6,3,0,48751,4,Wednesday,9,2013
CLAY,AERTS,M,22-06-2013,07-01-2016,Analyst,22,Finance,23,7,4,0,42136,22,Saturday,6,2013
MERCEDES,ANASTASI,F,24-06-2013,07-01-2016,Analyst,21,Web,27,3,5,0,42472,24,Monday,6,2013
BRANDON,ABBY,M,23-03-2013,07-01-2016,Analyst,22,IT,26,4,4,0,46677,23,Saturday,3,2013
BILL,ABOSHIHATA,M,03-12-2014,07-01-2016,Analyst,25,Web,28,2,5,3,45977,3,Wednesday,12,2014
ALFREDO,ACHZIGER,M,25-11-2014,07-01-2016,Analyst,25,Web,18,12,5,3,41345,25,Tuesday,11,2014
NICOLE,ALSOBROOK,F,27-06-2010,07-01-2016,Director,41,Marketing,23,7,3,10,323196,27,Sunday,6,2010
GOLDIE,ANERTON,F,16-10-2014,07-01-2016,Analyst,22,Marketing,19,11,2,0,42727,16,Thursday,10,2014
ELIAS,ADSIT,M,27-05-2012,07-01-2016,Senior Analyst,25,Marketing,18,12,5,0,53218,27,Sunday,5,2012
SUN,ARDIZZONE,F,12-07-2013,07-01-2016,Analyst,21,IT,21,9,3,0,48422,12,Friday,7,2013
BOOKER,AKRIGHT,M,14-10-2013,07-01-2016,Associate,32,IT,23,7,4,6,83066,14,Monday,10,2013
LEEANN,ARCHILA,F,22-09-2013,07-01-2016,Analyst,21,Operations,29,1,2,0,41627,22,Sunday,9,2013
DEREK,ABOULISSAN,M,13-02-2013,07-01-2016,Director,42,Marketing,27,3,2,18,388112,13,Wednesday,2,2013
DAWN,ALTIER,F,12-11-2013,07-01-2016,Analyst,23,Web,25,5,3,0,44469,12,Tuesday,11,2013
SHELTON,AKUCHIE,M,07-11-2014,07-01-2016,Analyst,24,Marketing,23,7,3,2,41109,7,Friday,11,2014
LEOPOLDO,ALBORN,M,03-12-2014,07-01-2016,Analyst,23,Operations,27,3,4,1,43924,3,Wednesday,12,2014
DARREN,ACERO,M,26-12-2013,07-01-2016,Senior Analyst,25,Operations,23,7,4,2,64232,26,Thursday,12,2013
ARMANDO,ACHENBACH,M,23-03-2013,07-01-2016,Analyst,22,Operations,19,11,2,0,49644,23,Saturday,3,2013
DELPHINE,AREVALO,F,23-01-2009,07-01-2016,Director,43,Web,15,15,2,11,284733,23,Friday,1,2009
IDA,ALVIRA,F,17-03-2014,07-01-2016,Analyst,22,Operations,20,10,4,0,48802,17,Monday,3,2014
ALECIA,ARIANO,F,13-12-2013,07-01-2016,Analyst,21,IT,21,9,4,0,41748,13,Friday,12,2013
JUAN,ABBASSI,M,01-07-2013,07-01-2016,Senior Analyst,27,Finance,20,10,2,1,61575,1,Monday,7,2013
YOLANDA,ALWAN,F,17-12-2013,07-01-2016,Analyst,24,Marketing,25,5,3,1,46062,17,Tuesday,12,2013
EMMA,ALTSISI,F,02-04-2013,07-01-2016,Analyst,25,Finance,18,12,2,1,40251,2,Tuesday,4,2013
OCTAVIO,ALAMEIDA,M,09-12-2014,07-01-2016,Analyst,21,Management,16,14,2,0,42416,9,Tuesday,12,2014
LEILA,ANNUNZIATA,F,30-05-2014,07-01-2016,Analyst,22,Finance,18,12,5,0,43951,30,Friday,5,2014
CECIL,ABUD,M,10-01-2014,07-01-2016,Analyst,25,Finance,19,11,2,2,47903,10,Friday,1,2014
CHARLES,ARMSTER,F,07-05-2013,07-01-2016,Analyst,22,Operations,27,3,3,0,45275,7,Tuesday,5,2013
FELIX,ACHESON,M,16-09-2014,07-01-2016,Senior Analyst,26,Finance,28,2,5,1,61046,16,Tuesday,9,2014
JAQUELINE,AREHART,F,04-01-2014,07-01-2016,Analyst,25,Web,15,15,4,2,48204,4,Saturday,1,2014
GALE,ANNARUMO,F,23-06-2013,07-01-2016,Senior Analyst,27,Operations,23,7,3,1,51053,23,Sunday,6,2013
FRANCIS,ABERSON,M,28-09-2014,07-01-2016,Analyst,22,Operations,16,14,2,0,42560,28,Sunday,9,2014
TAMMI,APADACA,F,02-12-2014,07-01-2016,Analyst,25,Marketing,20,10,2,3,40947,2,Tuesday,12,2014
LOUELLA,ARBRY,F,04-06-2012,07-01-2016,Senior Analyst,28,IT,30,0,2,0,68432,4,Monday,6,2012
JOYCE,ALQUIJAY,F,28-05-2014,07-01-2016,Analyst,24,Management,24,6,4,1,44561,28,Wednesday,5,2014
MARGUERITE,AMICK,F,13-02-2012,07-01-2016,Senior Analyst,26,Operations,27,3,2,1,63882,13,Monday,2,2012
KENTON,ALEXANDRA,M,11-12-2013,07-01-2016,Analyst,23,Finance,21,9,2,0,45903,11,Wednesday,12,2013
CODY,ACEUEDO,M,01-01-2013,07-01-2016,Analyst,23,Web,28,2,3,0,48470,1,Tuesday,1,2013
FRANKIE,ANETSBERGER,F,28-01-2014,07-01-2016,Analyst,23,Finance,24,6,4,0,45704,28,Tuesday,1,2014
MILLICENT,ARAMBOLES,F,21-12-2013,07-01-2016,Senior Analyst,25,Management,18,12,5,0,57064,21,Saturday,12,2013
DEE,ALEVEDO,M,13-04-2014,07-01-2016,Analyst,22,IT,15,15,2,0,48546,13,Sunday,4,2014
ZELMA,ANTONELLI,F,28-09-2013,07-01-2016,Senior Analyst,28,Operations,25,5,3,5,50044,28,Saturday,9,2013
PEARL,AMARA,F,24-06-2013,07-01-2016,Analyst,21,Marketing,16,14,2,0,41604,24,Monday,6,2013
CARIDAD,ARMWOOD,F,11-06-2014,07-01-2016,Analyst,23,Finance,23,7,3,0,45022,11,Wednesday,6,2014
ELDON,AGOFF,M,11-09-2011,07-01-2016,Manager,33,Web,24,6,4,8,107432,11,Sunday,9,2011
SHANDA,ARJONA,F,28-02-2013,07-01-2016,Analyst,24,IT,26,4,4,0,45499,28,Thursday,2,2013
HEATH,AGNES,M,12-04-2013,07-01-2016,Analyst,22,Marketing,26,4,2,0,47846,12,Friday,4,2013
ROCIO,ARCURI,F,07-09-2012,07-01-2016,Senior Analyst,28,Operations,29,1,3,1,67299,7,Friday,9,2012
MARJORIE,ALTRECHE,F,26-11-2014,07-01-2016,Analyst,24,Web,21,9,2,2,48047,26,Wednesday,11,2014
CYRUS,ALANIS,M,06-12-2010,07-01-2016,Senior Manager,36,Finance,20,10,3,8,186356,6,Monday,12,2010
ISABELL,ARKINS,F,23-11-2013,07-01-2016,Analyst,22,Operations,26,4,5,0,48539,23,Saturday,11,2013
ROBBIE,ANGUS,F,13-12-2014,07-01-2016,Analyst,22,Marketing,18,12,2,0,45146,13,Saturday,12,2014
TIFFANY,ALTIZER,F,01-02-2012,07-01-2016,Senior Analyst,25,IT,26,4,3,0,67321,1,Wednesday,2,2012
JODIE,ANIELLO,F,29-10-2014,07-01-2016,Analyst,24,IT,27,3,2,2,43137,29,Wednesday,10,2014
MARCY,ANNICCHIARICO,F,03-05-2013,07-01-2016,Analyst,24,Web,30,0,4,0,46974,3,Friday,5,2013
WILHELMINA,AREND,F,03-05-2013,07-01-2016,Analyst,25,Marketing,30,0,2,1,48602,3,Friday,5,2013
NORA,AMBROZIAK,F,23-09-2013,07-01-2016,Analyst,22,Web,25,5,4,0,43036,23,Monday,9,2013
JAIME,ACHTERHOF,M,08-07-2014,07-01-2016,Analyst,23,Finance,17,13,3,0,49318,8,Tuesday,7,2014
CHRISTA,ANENE,F,10-06-2013,07-01-2016,Analyst,23,Web,19,11,2,0,48356,10,Monday,6,2013
BRADLEY,ABES,M,25-06-2013,07-01-2016,Analyst,25,Operations,22,8,3,1,49894,25,Tuesday,6,2013
LUCILE,ANNA,F,19-12-2014,07-01-2016,Analyst,24,Marketing,17,13,4,2,42344,19,Friday,12,2014
LYNDON,ALFREDS,M,16-01-2013,07-01-2016,Analyst,24,Web,27,3,4,0,43343,16,Wednesday,1,2013
DARA,ARIEL,F,29-12-2013,07-01-2016,Analyst,22,Operations,27,3,4,0,47750,29,Sunday,12,2013
KENT,ACKMANN,M,21-06-2014,07-01-2016,Analyst,22,Marketing,19,11,3,0,42440,21,Saturday,6,2014
ANTIONETTE,ARCHEY,F,23-07-2014,07-01-2016,Analyst,25,Web,16,14,2,3,45236,23,Wednesday,7,2014
OTIS,ACTON,M,23-04-2013,07-01-2016,Analyst,24,Operations,27,3,4,0,41514,23,Tuesday,4,2013
CHANCE,ALBERICO,M,02-01-2015,07-01-2016,Analyst,23,IT,24,6,4,1,45084,2,Friday,1,2015
